episode,time,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
41,0,-0.0025059374,0.0118785035,-0.03696853,1002.7822061452365,24,0,124,194.86109287858991,194.8610928653727,33.0-28.000000000000004-34.0-22.0-23.0,0.044875886,0.02524952,0.042122535
42,0,-0.014716835,0.0118785035,-2.0,902.2104234207442,48,0,96,193.8680218112391,193.86802180058027,52.0-30.0-49.0-26.0-22.0,0.15651453,0.07176781,0.17223124
43,0,-0.014437405,0.0118785035,-2.0,867.1102836911084,68,0,98,193.36315369700378,193.36315368823637,63.0-26.0-63.0-28.000000000000004-30.0,0.112804085,0.037007786,0.1543012
44,0,-0.013591515,0.0118785035,-2.0,849.3529323311628,89,0,97,192.8776957603564,192.87769575324566,68.0-30.0-74.0-44.0-28.000000000000004,0.117288776,0.035354838,0.16662551
45,0,-0.013526085,0.0118785035,-2.0,823.948211640957,84,0,93,193.047520093237,193.04752008546438,71.0-25.0-71.0-39.0-30.0,0.15712981,0.075599715,0.16583735
46,0,-0.00011097658,0.011741712,-0.030325012,955.1456941884051,46,0,124,194.01063091665165,194.01063090510564,50.0-28.000000000000004-34.0-34.0-28.000000000000004,0.013254015,-0.0028904278,0.035061046
47,0,0.0022726022,0.011834322,-0.0210312,810.2115668565312,79,0,124,193.1049242299546,193.104924220821,76.0-23.0-52.0-50.0-26.0,0.020747809,0.006211579,0.03180506
48,0,-0.038163956,0.0118785035,-1.0,795.0591669038702,77,0,124,193.18295672939703,193.1829567196628,84.0-26.0-54.0-39.0-22.0,0.26109898,0.016271131,0.4924567
49,0,-0.006439447,0.01180519,-1.0,813.0695908972236,65,0,124,193.4360473806791,193.43604737076967,66.0-26.0-52.0-41.0-20.0,0.069514304,0.034139775,0.07346213
50,0,-0.09455884,0.011697612,-1.0,870.9730646427987,88,0,124,192.93652056447013,192.93652055518626,92.0-23.0-46.0-46.0-36.0,0.7628723,0.02498542,1.4784685
51,0,0.00044085836,0.0118785035,-0.02852748,887.9513925534619,78,0,124,193.02356836932194,193.02356836091124,68.0-28.000000000000004-54.0-46.0-31.0,0.08211315,0.044433303,0.07801129
52,0,-0.141978,0.0118785035,-1.0,795.4979298539511,79,0,124,193.16308529547942,193.1630852853078,90.0-26.0-49.0-41.0-22.0,1.5332218,0.029672602,3.0097344
53,0,-0.0141789345,0.0118785035,-2.0,859.1800379827852,73,0,106,193.23394870401395,193.23394869514607,70.0-25.0-57.99999999999999-34.0-31.0,0.0039942027,-0.07157051,0.1538444
54,0,0.00045516848,0.0118785035,-0.023618877,939.6738302229688,31,0,124,194.68005376401078,194.68005375104133,38.0-22.0-34.0-33.0-25.0,0.037594333,0.009038403,0.059983395
55,0,-0.0135200815,0.011754961,-2.0,843.2405709808676,96,0,103,192.74376581723854,192.7437658104077,71.0-30.0-74.0-52.0-28.000000000000004,0.12199371,0.044819847,0.15723261
56,0,-0.01504068,0.011381304,-2.0,931.3203634778314,66,0,99,193.29657025513922,193.29657024691346,50.0-28.000000000000004-57.99999999999999-38.0-33.0,0.045822572,-0.018010614,0.13064763
57,0,-0.00017868995,0.011799097,-0.024743406,992.4128631788132,28,0,124,194.7661138440427,194.7661138309327,34.0-23.0-31.0-30.0-28.000000000000004,0.020795476,0.0023972888,0.039630894
58,0,-0.054427844,0.011741712,-1.0,866.8014285973014,69,0,124,193.25380284495074,193.25380283592978,65.0-28.000000000000004-55.00000000000001-38.0-26.0,0.4615301,0.023310311,0.8793105
59,0,-0.014365927,0.011741712,-2.0,906.4251314440625,77,0,87,193.15619183886577,193.15619183173766,47.0-22.0-70.0-47.0-39.0,-0.011400995,-0.083386414,0.14695227
60,0,-0.0011353653,0.011483179,-0.031450953,972.7583624318687,47,0,124,193.87605613150086,193.87605612180582,36.0-31.0-46.0-39.0-25.0,0.03856543,0.020477183,0.03908282
61,0,-0.014252451,0.011605243,-2.0,868.4398274672716,82,0,119,193.016590182012,193.0165901740089,71.0-23.0-63.0-39.0-36.0,0.057899136,-3.7407874e-05,0.118737206
62,0,-0.014672548,0.011799097,-2.0,914.6423627131863,66,0,120,193.3451854644322,193.3451854557754,50.0-26.0-50.0-49.0-31.0,0.099884026,0.044649925,0.11337714
63,0,0.00014943254,0.011479409,-0.026354007,927.9441594033134,91,0,124,192.69655389165175,192.69655388510833,60.0-33.0-71.0-50.0-33.0,0.01987991,0.008699987,0.02525017
64,0,-0.014297248,0.011539498,-2.0,901.430500683781,79,0,92,193.01103130121808,193.01103129427088,47.0-30.0-70.0-52.0-30.0,0.14996792,0.071573325,0.15967424
65,0,-0.09456063,0.0118785035,-1.0,879.3214588966654,97,0,124,192.68750938615577,192.6875093778422,97.0-30.0-54.0-46.0-31.0,0.7961664,0.015071907,1.5650146
66,0,0.00088481925,0.0118785035,-0.022674598,916.3213467664804,104,0,124,192.5041978690815,192.5041978621476,84.0-28.000000000000004-62.0-55.00000000000001-39.0,0.083396964,0.047783125,0.074004784
67,0,-0.029885633,0.0118785035,-1.0,850.2566400834198,87,0,124,192.85256856843296,192.8525685602449,82.0-31.0-62.0-41.0-25.0,0.14991255,0.0036771367,0.29524365
68,0,-0.014386925,0.0117109,-2.0,856.3204409936844,66,0,121,193.39954869784935,193.3995486886202,62.0-25.0-55.00000000000001-38.0-28.000000000000004,0.06530643,0.012333707,0.10878926
69,0,-0.06254763,0.011719862,-1.0,871.7406251059313,63,0,124,193.54269820336694,193.54269819240153,74.0-23.0-42.0-31.0-31.0,0.4636879,-0.002151975,0.9345154
70,0,-0.023638703,0.011799097,-1.0,901.5153977677019,47,0,124,193.9849461715822,193.98494615980766,54.0-26.0-36.0-38.0-23.0,0.1218291,0.005276693,0.23602076
71,0,0.00031544475,0.011761054,-0.02880451,953.4711881905844,57,0,124,193.51463131116938,193.5146313019132,49.0-33.0-49.0-36.0-26.0,0.027854653,0.0076281824,0.04341241
72,0,-0.00019944829,0.010870133,-0.028180316,970.3345862761355,60,0,124,193.45714038516456,193.4571403762264,47.0-30.0-47.0-41.0-33.0,0.011374848,-0.00022447706,0.02604682
73,0,0.0009307624,0.011821071,-0.024100766,925.5459126219794,73,0,124,193.12189698587943,193.1218969769062,68.0-30.0-47.0-41.0-33.0,0.03755491,0.025918026,0.025986444
74,0,-0.062012907,0.011583507,-1.0,864.1732289097765,80,0,124,193.01838524804054,193.0183852394525,76.0-28.000000000000004-56.99999999999999-39.0-30.0,0.53622097,-0.010986936,1.0971925
75,0,-0.013257281,0.0118785035,-2.0,785.9744779082343,80,0,115,193.19439565071127,193.19439564103862,87.0-22.0-55.00000000000001-39.0-26.0,0.066747695,0.01085755,0.11441649
76,0,-0.12651329,0.011799097,-1.0,874.4621285370164,100,0,124,192.70546363681646,192.7054636285317,100.0-30.0-56.99999999999999-41.0-30.0,1.3038461,0.04327577,2.5238113
77,0,-0.15752047,0.011799097,-1.0,820.5336751038334,92,0,124,192.880761946109,192.88076193681945,100.0-26.0-50.0-46.0-26.0,1.5789163,0.0070809345,3.1463122
78,0,-0.15798078,0.011640797,-1.0,820.6614390901219,72,0,124,193.3015577854437,193.30155777515932,79.0-25.0-46.0-42.0-25.0,1.8056738,0.023595203,3.5669746
