episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
46,-0.09510619,0.011646682,-1.0,864.9342730995683,80,0,124,193.05974288685022,193.05974287746488,86.0-28.000000000000004-50.0-36.0-30.0,0.77870363,0.032881558,1.4942379
47,-0.19936208,0.0118785035,-1.0,895.0717459518828,75,0,124,193.30194397295645,193.3019439614176,100.0-31.0-38.0-25.0-28.000000000000004,1.7574905,0.029725553,3.458106
48,-0.013966055,0.011834322,-2.0,874.1259380053729,82,0,104,192.95936440907272,192.95936440124535,71.0-31.0-66.0-36.0-28.000000000000004,-0.13434747,-0.2979229,0.3298025
49,-0.015924782,0.0118785035,-2.0,956.2120565533395,69,0,113,193.19200320544806,193.19200319713366,57.99999999999999-31.0-56.99999999999999-31.0-34.0,0.0044715703,-0.081693955,0.1751104
50,2.3398654e-05,0.011741712,-0.028479325,967.8741157007047,35,0,124,194.4752994075045,194.47529939486304,42.0-23.0-33.0-30.0-30.0,0.08607778,0.03688366,0.10121825
51,-0.063460246,0.011834322,-1.0,868.0518964354372,68,0,124,193.37878362331713,193.37878361301833,73.0-23.0-42.0-41.0-31.0,0.5943701,0.03908273,1.1134208
52,0.00013703147,0.011351542,-0.028060813,883.8625254507687,66,0,124,193.37412569484727,193.37412568639184,54.0-26.0-62.0-36.0-30.0,0.05457606,0.008017752,0.09601491
53,-0.0146014355,0.01180519,-2.0,929.8009242558401,100,0,105,192.5663408996114,192.56634089366304,57.99999999999999-38.0-78.0-60.0-28.000000000000004,0.093805656,0.018699119,0.15314062
54,-0.0011330175,0.011028486,-0.02774358,962.147994192176,28,0,124,194.8043560481916,194.80435603536955,31.0-22.0-34.0-34.0-25.0,0.03542957,0.013113451,0.047604784
55,-0.013910515,0.01161847,-2.0,875.0112744143806,70,0,72,193.35870455997872,193.3587045523842,47.0-23.0-73.0-38.0-33.0,0.24207766,0.14781107,0.19126563
56,-0.014210031,0.011479764,-2.0,887.8744549734489,65,0,89,193.40494640674984,193.40494639889812,39.0-28.000000000000004-63.0-50.0-25.0,0.10761955,0.029616838,0.1587619
57,-0.015618953,0.011359697,-2.0,943.2986551633951,39,0,106,194.29154254536894,194.2915425350855,30.0-22.0-49.0-36.0-28.000000000000004,0.1078111,0.028940137,0.16060688
58,0.00060089986,0.0118785035,-0.02103549,918.9683369435628,43,0,124,194.11969971676658,194.1196997061276,39.0-23.0-46.0-36.0-26.0,0.0056016073,-0.013335862,0.040619295
59,-0.014478724,0.011741712,-2.0,929.6156124798431,71,0,71,193.2244050802088,193.22440507317881,41.0-31.0-76.0-39.0-28.000000000000004,0.26593378,0.16689545,0.20082985
60,-0.013784924,0.011719862,-2.0,861.9904207745408,79,0,87,193.04027875777072,193.04027875060942,52.0-33.0-73.0-49.0-22.0,0.1540724,0.073923714,0.16319378
61,0.001455028,0.0118785035,-0.023440484,857.4389377870675,69,0,124,193.3205602207456,193.32056021187287,55.00000000000001-25.0-50.0-55.00000000000001-26.0,0.06184371,0.042947847,0.04074264
62,-0.013421026,0.0118785035,-2.0,784.4350188288797,102,0,124,192.74310738056408,192.74310737386486,68.0-25.0-73.0-74.0-25.0,0.074331805,0.0028779665,0.14565417
63,-0.013687905,0.011427216,-2.0,859.6932799936249,81,0,113,192.93674696863053,192.93674696061083,62.0-31.0-54.0-63.0-22.0,0.12353611,0.0502211,0.14939883
64,-0.014494877,0.01180519,-2.0,893.4630991165175,100,0,110,192.6993616015051,192.69936159551344,56.99999999999999-26.0-79.0-62.0-38.0,0.10680978,0.03380561,0.14881018
65,-0.013353265,0.011675771,-2.0,835.170505859778,109,0,109,192.6041069931155,192.6041069871211,63.0-30.0-78.0-81.0-25.0,0.12625353,0.048925877,0.15755168
66,-0.014658915,0.011799097,-2.0,919.6817712394005,47,0,110,193.93464080220326,193.93464079160293,42.0-30.0-41.0-44.0-20.0,0.06326936,0.0020786286,0.1253127
67,-0.014657434,0.011697612,-2.0,868.5774943746729,57,0,100,193.70768245588425,193.70768244721305,38.0-22.0-60.0-47.0-26.0,0.50442374,0.4029495,0.20592412
68,-0.0033551208,0.011741712,-0.032310367,989.6610517929322,36,0,124,194.4221719478665,194.42217193607863,36.0-25.0-34.0-34.0-30.0,0.015552428,0.001687466,0.030762315
69,-0.0014564036,0.0118785035,-0.029630579,951.6758279223753,54,0,124,193.64949415107236,193.64949414174362,41.0-31.0-46.0-46.0-25.0,0.018021159,0.0046541365,0.029585186
70,0.0006434405,0.011602638,-0.029083254,920.9317815056511,38,0,124,194.27434812352266,194.27434811177778,42.0-28.000000000000004-41.0-31.0-20.0,0.050189853,0.036720835,0.029490596
71,-0.0128811635,0.011602638,-2.0,785.7847530618367,90,0,104,192.91574798501176,192.91574797693104,82.0-26.0-66.0-47.0-23.0,0.089343056,0.021156708,0.13876837
72,-0.012480476,0.0118785035,-2.0,761.9286700831397,97,0,97,192.88973727393432,192.88973726613594,89.0-23.0-74.0-47.0-23.0,0.12756462,0.050806385,0.15596311
73,-0.0126626035,0.0118785035,-2.0,777.2122835396789,96,0,96,192.8503321352804,192.85033212791805,79.0-25.0-76.0-52.0-23.0,0.11696887,0.047051504,0.14233771
74,-0.10914175,0.0118785035,-1.0,811.9328214525364,104,0,124,192.70069925716268,192.70069924886928,100.0-30.0-57.99999999999999-50.0-22.0,1.0547782,-0.0025442278,2.1173255
75,0.0010266141,0.0118785035,-0.028774716,888.808579088272,53,0,124,193.78263986284637,193.78263985187908,56.99999999999999-25.0-41.0-38.0-26.0,0.056046795,0.005437575,0.10398216
76,-0.012957151,0.0118785035,-2.0,797.1395554587391,76,0,114,193.18798176253378,193.1879817535311,73.0-23.0-57.99999999999999-44.0-25.0,0.015181699,-0.03844283,0.109910086
77,-0.0130088115,0.0118785035,-2.0,776.5965992012935,77,0,106,193.17301144639498,193.17301143731999,73.0-25.0-56.99999999999999-50.0-20.0,0.036071822,-0.024116827,0.1230726
