episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
56,-0.071964175,0.011558671,-1.0,962.4382604523353,65,0,124,193.36507025074843,193.36507024049487,68.0-31.0-36.0-38.0-33.0,1.4489856,0.0004694263,2.8998609
57,-0.06496284,0.011731996,-1.0,971.9949715884003,45,0,124,194.0456989663023,194.0456989539963,55.00000000000001-31.0-30.0-31.0-26.0,0.92731756,-0.015006144,1.8876327
58,-0.0007032833,0.01168886,-0.026464934,987.4723833169545,33,0,124,194.52869530270408,194.52869528989646,39.0-28.000000000000004-30.0-33.0-25.0,0.46941623,0.008469656,0.9249774
59,-0.0023514668,0.011595433,-0.03060148,1045.7039568830698,60,0,124,193.4363853874873,193.4363853777969,54.0-34.0-34.0-39.0-36.0,0.21977733,0.0043536723,0.43394187
60,-0.018648757,0.011646682,-2.0,1037.8783327077651,19,0,119,195.12751387803198,195.1275138639518,28.000000000000004-28.000000000000004-28.000000000000004-25.0-23.0,0.068803824,-0.12361264,0.38789704
61,-0.025475597,0.0118785035,-1.0,1023.6190367159812,21,0,124,195.1492539915549,195.1492539770017,30.0-25.0-23.0-33.0-25.0,0.28659868,0.018635837,0.53894246
62,-0.0031487667,0.01180519,-0.03583045,1028.3745343226167,11,0,124,195.61581024956325,195.61581023283708,30.0-23.0-22.0-22.0-23.0,0.16247703,-0.0059768143,0.3396025
63,-0.12557942,0.0118785035,-1.0,832.410642953624,73,0,124,193.33724925683475,193.3372492458445,81.0-25.0-34.0-54.0-25.0,1.377893,0.032932,2.6925745
64,-0.07908386,0.011746183,-1.0,852.7191732806925,70,0,124,193.35229944974236,193.35229943889794,81.0-25.0-39.0-41.0-28.000000000000004,0.81321514,0.001657468,1.6258571
65,-0.04023206,0.0118785035,-1.0,961.493496844662,74,0,124,193.07076134564795,193.07076133605563,73.0-36.0-36.0-47.0-28.000000000000004,0.38891822,-0.008374375,0.7973783
66,-0.07162499,0.0118785035,-1.0,940.7132232229839,58,0,124,193.69374829970766,193.6937482876196,68.0-31.0-25.0-44.0-26.0,0.6125038,-0.01323309,1.2543324
67,-0.020301862,0.011617376,-1.0,1018.8521574646707,34,0,124,194.52210956852215,194.52210955477653,49.0-30.0-25.0-23.0-30.0,0.20873117,0.01974358,0.38083455
68,-0.0014554923,0.0118785035,-0.028187545,969.7998420763838,58,0,124,193.6719565504454,193.67195653979047,52.0-28.000000000000004-28.000000000000004-55.00000000000001-31.0,0.15425453,0.00022719105,0.31078777
69,-0.02417906,0.0117109,-1.0,951.373134712089,81,0,124,193.00091842634865,193.00091841721274,68.0-33.0-31.0-70.0-30.0,0.19112441,-0.027910965,0.44075027
70,-0.013486312,0.0118785035,-2.0,846.3353661418506,100,0,100,192.95548624713766,192.95548623827864,79.0-23.0-33.0-98.0-28.000000000000004,-0.04885308,-0.19298594,0.2909827
71,-0.014783356,0.011253743,-2.0,944.171984201966,86,0,89,193.1101732028746,193.11017319507897,47.0-26.0-38.0-94.0-34.0,0.04585116,-0.09965583,0.29372346
72,0.0011134502,0.011435917,-0.020115357,886.3788229284427,82,0,124,193.07423545557717,193.07423544657246,70.0-23.0-39.0-66.0-34.0,0.11319334,0.005519586,0.2179788
73,0.0019998,0.011761054,-0.020559587,867.4818542494846,106,0,124,192.63652996508148,192.63652995708364,90.0-25.0-44.0-78.0-34.0,0.1178539,0.01615166,0.20590132
74,-0.028537223,0.011834322,-2.0,766.6908109619376,111,0,113,192.83218807842582,192.8321880694901,100.0-20.0-41.0-94.0-23.0,0.3027297,0.032077152,0.54374236
75,-0.013836595,0.011834322,-2.0,875.7301379674016,96,0,96,192.96606117266975,192.96606116459128,65.0-22.0-38.0-98.0-33.0,0.1395961,-0.0062763747,0.29437056
76,-0.014549256,0.011574491,-2.0,914.0707421674146,57,0,98,193.80849285094686,193.80849284012754,49.0-23.0-30.0-63.0-28.000000000000004,0.18301325,0.05726032,0.25417832
77,-0.014299182,0.011746183,-2.0,906.7293565488366,69,0,80,193.5362839427309,193.53628393343848,44.0-26.0-33.0-84.0-25.0,0.11558821,-0.024297128,0.28240877
78,-0.015034433,0.011675771,-2.0,914.5712116050827,74,0,111,193.27632512701518,193.27632511752705,57.99999999999999-28.000000000000004-31.0-74.0-28.000000000000004,0.14530455,0.0157169,0.26185328
79,-0.0136354845,0.0118785035,-2.0,849.4987133116093,97,0,100,192.8999378152936,192.8999378066467,76.0-28.000000000000004-34.0-94.0-25.0,0.102051005,-0.024076492,0.25471777
80,-0.013407223,0.011799097,-2.0,833.2355909029817,85,0,94,193.08704327156912,193.08704326269458,66.0-23.0-39.0-82.0-26.0,0.11700263,0.00082953647,0.23474659
81,-0.013828089,0.0117109,-2.0,875.0163536151043,96,0,96,192.85461502142388,192.85461501359663,65.0-26.0-41.0-95.0-28.000000000000004,0.15427072,0.023523772,0.26413384
82,-0.015420002,0.011673011,-2.0,912.8571998705302,62,0,115,193.52334645194534,193.52334644229728,50.0-26.0-39.0-56.99999999999999-28.000000000000004,0.09343758,-0.0073030065,0.20438437
83,-0.0013927792,0.0118785035,-0.029738614,1039.7618427291284,59,0,124,193.46089581157494,193.46089580253613,42.0-33.0-38.0-49.0-34.0,0.05594004,-0.0032668712,0.12115393
84,-0.013453813,0.0118785035,-2.0,843.6081626592628,119,0,119,192.42902527210018,192.42902526561562,86.0-28.000000000000004-63.0-87.0-28.000000000000004,0.10949437,0.006032611,0.20966157
85,-0.014743866,0.011662524,-2.0,908.214042029816,70,0,107,193.35415861553426,193.35415860628808,52.0-26.0-36.0-71.0-28.000000000000004,0.1644204,0.041183688,0.24925862
86,0.00043316386,0.011747804,-0.02304054,924.0782518276784,87,0,124,192.7865114665737,192.78651145887773,66.0-28.000000000000004-50.0-60.0-36.0,0.077896945,0.022579502,0.113404125
87,-0.013826649,0.0116230035,-2.0,850.830904627371,106,0,109,192.59563358721832,192.59563358008774,74.0-28.000000000000004-52.0-89.0-28.000000000000004,0.05787506,-0.034829576,0.18798742
88,-0.01268763,0.011799097,-2.0,774.259932468023,95,0,106,192.8568226763665,192.8568226684934,74.0-23.0-56.99999999999999-76.0-23.0,0.17165066,0.065196306,0.21552274
89,-0.013025316,0.0118785035,-2.0,807.6500213383832,106,0,106,192.66303314610585,192.66303313886888,76.0-25.0-56.99999999999999-89.0-25.0,0.098780915,0.0058734263,0.1885735
90,-0.016394956,0.011790214,-2.0,970.1438664107749,41,0,114,194.2217247336155,194.22172472262588,33.0-28.000000000000004-34.0-49.0-23.0,0.095677346,0.009207473,0.17574869
91,0.00087432395,0.011697612,-0.024288345,906.5258018044875,61,0,124,193.47534072817723,193.47534071937457,46.0-26.0-52.0-47.0-28.000000000000004,0.04652376,0.0028371275,0.090193555
92,-0.014080929,0.011732855,-1.0,821.8884357136261,107,0,124,192.5713229553678,192.57132294798552,89.0-28.000000000000004-57.99999999999999-71.0-26.0,0.1110479,0.02485183,0.17504025
93,-0.012418899,0.011508889,-2.0,756.7612744759502,90,0,90,193.02321866772698,193.02321866055019,62.0-22.0-78.0-63.0-22.0,0.12905465,0.02645796,0.20778595
94,-0.0129691865,0.0118785035,-2.0,802.9398090181894,106,0,106,192.64105035947028,192.64105035270725,71.0-26.0-65.0-86.0-23.0,0.079143554,-0.008542627,0.17796646
95,-0.012694279,0.011746183,-2.0,779.8703235744488,110,0,110,192.64658127866525,192.64658127208534,74.0-25.0-71.0-84.0-23.0,0.061865013,-0.019389736,0.16515294
96,-0.013920767,0.0118785035,-2.0,882.4672014925428,76,0,83,193.15593550855903,193.15593550166693,42.0-30.0-76.0-49.0-26.0,0.1331241,0.037719447,0.19358456
97,-0.015328621,0.011549945,-2.0,863.0988359864551,76,0,112,193.12409548002546,193.12409547186775,52.0-30.0-50.0-70.0-22.0,0.09339292,0.008740795,0.17204516
98,-0.013320959,0.011666914,-2.0,821.5859314415416,104,0,105,192.79638056933337,192.79638056339004,54.0-25.0-82.0-78.0-30.0,0.04239655,-0.028158288,0.14374448
99,-0.01322476,0.011307812,-2.0,824.3866958159216,91,0,91,192.95037220926858,192.9503722023875,49.0-25.0-63.0-87.0-23.0,0.120712526,0.040708844,0.16266851
100,-0.01313919,0.011741712,-2.0,817.205903521716,114,0,114,192.5248538393917,192.52485383286776,79.0-26.0-66.0-86.0-26.0,0.07443152,0.0077026263,0.13625482
101,-0.015426304,0.01118504,-2.0,950.8247488033074,104,0,112,192.53263136024373,192.53263135330303,68.0-33.0-46.0-87.0-34.0,0.08435773,0.010108,0.15143695
102,-0.014330848,0.011790214,-2.0,916.5702357942123,77,0,83,193.3442902861604,193.34429027811242,39.0-25.0-41.0-90.0-30.0,0.120797575,0.038277265,0.16787213
103,-0.015575149,0.011719862,-2.0,1001.285026824932,60,0,106,193.66789153035302,193.66789152094353,38.0-26.0-31.0-68.0-34.0,0.045098,-0.018330123,0.12970427
104,-0.017221527,0.011821071,-2.0,994.394150139135,32,0,102,194.5851094461838,194.5851094341994,28.000000000000004-26.0-31.0-44.0-23.0,0.15050817,0.05976876,0.18424349
105,-0.014921809,0.010356155,-2.0,934.0004367037442,61,0,75,193.77887079330563,193.77887078479102,25.0-23.0-42.0-82.0-26.0,0.17211299,0.09151945,0.16377561
106,-0.015012577,0.011492753,-2.0,961.174766238409,66,0,77,193.6504767715373,193.65047676312292,28.000000000000004-26.0-38.0-87.0-28.000000000000004,0.048417788,-0.015510906,0.13038938
107,-0.014056549,0.011631756,-2.0,891.3025059089867,67,0,74,193.53336632911245,193.5333663216204,25.0-26.0-57.99999999999999-78.0-22.0,0.14658095,0.058138788,0.1792622
108,-0.014619371,0.010955306,-2.0,930.181869492572,70,0,88,193.3175223792897,193.3175223716415,34.0-28.000000000000004-52.0-71.0-28.000000000000004,0.08490116,0.008762095,0.15466048
